port,x,y,year,month,ph,do
梗枋漁港,337898.4,2755463.9,2025,1,7.9,5.2
梗枋漁港,337898.4,2755463.9,2025,2,8,5.1
梗枋漁港,337898.4,2755463.9,2025,3,7.8,4.9
梗枋漁港,337898.4,2755463.9,2025,4,7.7,4.7
梗枋漁港,337898.4,2755463.9,2025,5,7.6,4.5
梗枋漁港,337898.4,2755463.9,2025,6,7.5,4.3
梗枋漁港,337898.4,2755463.9,2025,7,7.6,4.4
梗枋漁港,337898.4,2755463.9,2025,8,7.7,4.6
梗枋漁港,337898.4,2755463.9,2025,9,7.8,4.8
梗枋漁港,337898.4,2755463.9,2025,10,7.9,5
梗枋漁港,337898.4,2755463.9,2025,11,8,5.3
梗枋漁港,337898.4,2755463.9,2025,12,7.9,5.4
烏石港,334358.5,2750928.9,2025,1,7.8,5.1
烏石港,334358.5,2750928.9,2025,2,7.9,5
烏石港,334358.5,2750928.9,2025,3,7.7,4.8
烏石港,334358.5,2750928.9,2025,4,7.6,4.6
烏石港,334358.5,2750928.9,2025,5,7.5,4.4
烏石港,334358.5,2750928.9,2025,6,7.4,4.2
烏石港,334358.5,2750928.9,2025,7,7.5,4.3
烏石港,334358.5,2750928.9,2025,8,7.6,4.5
烏石港,334358.5,2750928.9,2025,9,7.7,4.7
烏石港,334358.5,2750928.9,2025,10,7.8,4.9
烏石港,334358.5,2750928.9,2025,11,7.9,5.2
烏石港,334358.5,2750928.9,2025,12,7.8,5.3
大溪第一漁港,340901.8,2759624.4,2025,1,7.8,4.9
大溪第二漁港,340968.9,2759546.8,2025,1,7.7,4.7
蕃薯寮漁港,342563.8,2760805.5,2025,1,7.6,4.5
大里漁港,343220,2761946.8,2025,1,7.5,4.3
石城漁港,346200.7,2763897.6,2025,1,7.6,4.4
桶盤堀漁港,344719.1,2763183,2025,1,7.7,4.6
蘇澳港,337357.7,2720456.9,2025,1,7.8,4.8
南方澳第三漁港,337508.2,2720049.9,2025,1,7.9,5
南方澳第一漁港,337609.1,2719860.5,2025,1,8,5.3
南方澳第二漁港,337695.5,2719360.5,2025,1,7.9,5.4
粉鳥林漁港,335186,2710502.8,2025,1,8.1,5.5
朝陽漁港,332832.6,2706456.8,2025,1,8,5.2
